Unnamed: 0,datetime,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal,gal_filter
477,2025-03-30 21:42:04.672711,2025-03-30 21:42:04.672711,2025.0,3.0,30.0,21.0,42.0,4.0,19.69,35.435,1307.94,1307.94
478,2025-03-30 21:42:19.672492,2025-03-30 21:42:19.672492,2025.0,3.0,30.0,21.0,42.0,19.0,19.68,35.445,1308.34,1307.94
479,2025-03-30 21:42:34.672549,2025-03-30 21:42:34.672549,2025.0,3.0,30.0,21.0,42.0,34.0,19.68,35.445,1308.34,1307.94
480,2025-03-30 21:42:49.672374,2025-03-30 21:42:49.672374,2025.0,3.0,30.0,21.0,42.0,49.0,19.69,35.435,1307.94,1307.94
481,2025-03-30 21:43:04.672724,2025-03-30 21:43:04.672724,2025.0,3.0,30.0,21.0,43.0,4.0,19.68875,35.43625,1307.99,1307.94
482,2025-03-30 21:43:19.672949,2025-03-30 21:43:19.672949,2025.0,3.0,30.0,21.0,43.0,19.0,19.698750000000004,35.42625,1307.59,1307.94
483,2025-03-30 21:43:34.673569,2025-03-30 21:43:34.673569,2025.0,3.0,30.0,21.0,43.0,34.0,19.69375,35.43125,1307.79,1307.94
484,2025-03-30 21:43:49.672881,2025-03-30 21:43:49.672881,2025.0,3.0,30.0,21.0,43.0,49.0,19.707500000000003,35.4175,1307.24,1307.94
485,2025-03-30 21:44:04.673358,2025-03-30 21:44:04.673358,2025.0,3.0,30.0,21.0,44.0,4.0,19.655,35.47,1309.33,1307.94
486,2025-03-30 21:44:19.672829,2025-03-30 21:44:19.672829,2025.0,3.0,30.0,21.0,44.0,19.0,19.685,35.44,1308.14,1307.94
487,2025-03-30 21:44:34.672932,2025-03-30 21:44:34.672932,2025.0,3.0,30.0,21.0,44.0,34.0,19.68875,35.43625,1307.99,1307.94
488,2025-03-30 21:44:49.672769,2025-03-30 21:44:49.672769,2025.0,3.0,30.0,21.0,44.0,49.0,19.66,35.465,1309.13,1307.94
489,2025-03-30 21:45:04.672848,2025-03-30 21:45:04.672848,2025.0,3.0,30.0,21.0,45.0,4.0,19.68,35.445,1308.34,1307.94
490,2025-03-30 21:45:19.673430,2025-03-30 21:45:19.673430,2025.0,3.0,30.0,21.0,45.0,19.0,19.69875,35.42625,1307.59,1307.94
491,2025-03-30 21:45:34.672468,2025-03-30 21:45:34.672468,2025.0,3.0,30.0,21.0,45.0,34.0,19.685,35.44,1308.14,1307.94
492,2025-03-30 21:45:49.672523,2025-03-30 21:45:49.672523,2025.0,3.0,30.0,21.0,45.0,49.0,19.69,35.435,1307.94,1307.94
